case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
Multihop 1 gateways,0.8,6012,20750,200,2000000,71.9383,26763,889428,492.428
LoraWAN 1 gateways,0.8,3449,35014,200,2000000,431.63,38465,162103,492.428
LoraWAN 2 gateways,0.8,27325,38463,200,2000000,431.63,38465,1284275,492.428
LoraWAN 3 gateways,0.8,20163,38463,200,2000000,431.63,38465,947661,492.428
Multihop 1 gateways,0.9,4567,16637,200,2000000,43.163,21204,844684,492.428
LoraWAN 1 gateways,0.9,4871,36084,200,2000000,431.63,40958,228937,492.428
LoraWAN 2 gateways,0.9,21353,40955,200,2000000,431.63,40958,1003591,492.428
LoraWAN 3 gateways,0.9,35098,40955,200,2000000,431.63,40958,1649606,492.428
Multihop 1 gateways,1,8563,26152,200,2000000,71.9383,34716,1435521,492.428
LoraWAN 1 gateways,1,3771,39390,200,2000000,431.63,43162,177237,492.428
LoraWAN 2 gateways,1,26740,43161,200,2000000,431.63,43162,1256780,492.428
